,sentence,process,catalyst
705,"Aqueous solutions of metal nitrates ( Alfa Aesar ) Molality v ( NO3 ) v ·xH2O ( where M=Ni , Cu , Fe and x =crystalline water ) and glycine ( C2H5NO2 , as fuel ) were used to synthesize catalysts in volume combustion synthesis ( VCS ) mode .",volume,Cu
706,"Aqueous solutions of metal nitrates ( Alfa Aesar ) Molality v ( NO3 ) v ·xH2O ( where M=Ni , Cu , Fe and x =crystalline water ) and glycine ( C2H5NO2 , as fuel ) were used to synthesize catalysts in volume combustion synthesis ( VCS ) mode .",volume,Fe
707,The NiCuZnAl catalyst filled in the downstream reforming fixed bed was prepared by the co-precipitation method with screened Ni : Cu : Zn : Al molar ratio of 2:1:1:4 at a constant pH ( 9.0±0.2 ) using respective metal nitrates as precursors and a mixture of NaOH ( 1M ) and Na2CO3 ( 1M ) as precipitants .,molar ratio,Zn
708,The NiCuZnAl catalyst filled in the downstream reforming fixed bed was prepared by the co-precipitation method with screened Ni : Cu : Zn : Al molar ratio of 2:1:1:4 at a constant pH ( 9.0±0.2 ) using respective metal nitrates as precursors and a mixture of NaOH ( 1M ) and Na2CO3 ( 1M ) as precipitants .,molar ratio,Cu
709,The NiCuZnAl catalyst filled in the downstream reforming fixed bed was prepared by the co-precipitation method with screened Ni : Cu : Zn : Al molar ratio of 2:1:1:4 at a constant pH ( 9.0±0.2 ) using respective metal nitrates as precursors and a mixture of NaOH ( 1M ) and Na2CO3 ( 1M ) as precipitants .,molar ratio,Na2CO3
710,The NiCuZnAl catalyst filled in the downstream reforming fixed bed was prepared by the co-precipitation method with screened Ni : Cu : Zn : Al molar ratio of 2:1:1:4 at a constant pH ( 9.0±0.2 ) using respective metal nitrates as precursors and a mixture of NaOH ( 1M ) and Na2CO3 ( 1M ) as precipitants .,molar ratio,Ni
711,The NiCuZnAl catalyst filled in the downstream reforming fixed bed was prepared by the co-precipitation method with screened Ni : Cu : Zn : Al molar ratio of 2:1:1:4 at a constant pH ( 9.0±0.2 ) using respective metal nitrates as precursors and a mixture of NaOH ( 1M ) and Na2CO3 ( 1M ) as precipitants .,molar ratio,Al
712,"The as-prepared catalysts just after drying without any further oxidative thermal treatment are denoted as Rh-Mn/WxC ( x ) , where x represents the C/W molar ratios in the range of 1–20 on the mesoporous WxC supports .",molar ratio,WxC
713,"The as-prepared catalysts just after drying without any further oxidative thermal treatment are denoted as Rh-Mn/WxC ( x ) , where x represents the C/W molar ratios in the range of 1–20 on the mesoporous WxC supports .",molar ratio,Mn
714,"The as-prepared catalysts just after drying without any further oxidative thermal treatment are denoted as Rh-Mn/WxC ( x ) , where x represents the C/W molar ratios in the range of 1–20 on the mesoporous WxC supports .",atm,WxC
715,"The as-prepared catalysts just after drying without any further oxidative thermal treatment are denoted as Rh-Mn/WxC ( x ) , where x represents the C/W molar ratios in the range of 1–20 on the mesoporous WxC supports .",atm,Mn
716,"The surface area of metallic Cu species ( S Cu ) can be estimated according to the following equation : d = 0.5 A 1 A 2 = 1 D , S Cu = 2 N A × Y X × 1.46 × 10 19 × Molality Cu × Wt Cu % , where Molality Cu , WtCu % and N A represent the molar mass of Cu , the mass percentage of Cu in the catalysts ( determined by XRF ) and the Avogadro constant , respectively .",Molality,Cu
717,"The surface area of metallic Cu species ( S Cu ) can be estimated according to the following equation : d = 0.5 A 1 A 2 = 1 D , S Cu = 2 N A × Y X × 1.46 × 10 19 × Molality Cu × Wt Cu % , where Molality Cu , WtCu % and N A represent the molar mass of Cu , the mass percentage of Cu in the catalysts ( determined by XRF ) and the Avogadro constant , respectively .",Molality,Cu
718,"The surface area of metallic Cu species ( S Cu ) can be estimated according to the following equation : d = 0.5 A 1 A 2 = 1 D , S Cu = 2 N A × Y X × 1.46 × 10 19 × Molality Cu × Wt Cu % , where Molality Cu , WtCu % and N A represent the molar mass of Cu , the mass percentage of Cu in the catalysts ( determined by XRF ) and the Avogadro constant , respectively .",Molality,Cu
719,"The surface area of metallic Cu species ( S Cu ) can be estimated according to the following equation : d = 0.5 A 1 A 2 = 1 D , S Cu = 2 N A × Y X × 1.46 × 10 19 × Molality Cu × Wt Cu % , where Molality Cu , WtCu % and N A represent the molar mass of Cu , the mass percentage of Cu in the catalysts ( determined by XRF ) and the Avogadro constant , respectively .",Molality,Cu
720,"The surface area of metallic Cu species ( S Cu ) can be estimated according to the following equation : d = 0.5 A 1 A 2 = 1 D , S Cu = 2 N A × Y X × 1.46 × 10 19 × Molality Cu × Wt Cu % , where Molality Cu , WtCu % and N A represent the molar mass of Cu , the mass percentage of Cu in the catalysts ( determined by XRF ) and the Avogadro constant , respectively .",Molality,Cu
721,"The surface area of metallic Cu species ( S Cu ) can be estimated according to the following equation : d = 0.5 A 1 A 2 = 1 D , S Cu = 2 N A × Y X × 1.46 × 10 19 × Molality Cu × Wt Cu % , where Molality Cu , WtCu % and N A represent the molar mass of Cu , the mass percentage of Cu in the catalysts ( determined by XRF ) and the Avogadro constant , respectively .",Molality,Cu
722,"The surface area of metallic Cu species ( S Cu ) can be estimated according to the following equation : d = 0.5 A 1 A 2 = 1 D , S Cu = 2 N A × Y X × 1.46 × 10 19 × Molality Cu × Wt Cu % , where Molality Cu , WtCu % and N A represent the molar mass of Cu , the mass percentage of Cu in the catalysts ( determined by XRF ) and the Avogadro constant , respectively .",Molality,Cu
723,"The surface area of metallic Cu species ( S Cu ) can be estimated according to the following equation : d = 0.5 A 1 A 2 = 1 D , S Cu = 2 N A × Y X × 1.46 × 10 19 × Molality Cu × Wt Cu % , where Molality Cu , WtCu % and N A represent the molar mass of Cu , the mass percentage of Cu in the catalysts ( determined by XRF ) and the Avogadro constant , respectively .",Molality,Cu
724,"After cooling the catalysts to room temperature under argon atmosphere , 5 % H2–95 % Ar was introduced at a flow-rate of 30mLmin−1 .",temperature,argon
725,"After cooling the catalysts to room temperature under argon atmosphere , 5 % H2–95 % Ar was introduced at a flow-rate of 30mLmin−1 .",atm,argon
726,"The Mo-based carbide catalysts including Mo2C x /ZSM-5 , kelvin y –Mo2C x /ZSM-5 , V z –Mo2C x /ZSM-5 and V z –K y –Mo2C x /ZSM-5 were further treated by the temperature-programmer-reaction ( TPRe ) method as described in literatures .",temperature,carbide
727,"The Mo-based carbide catalysts including Mo2C x /ZSM-5 , kelvin y –Mo2C x /ZSM-5 , V z –Mo2C x /ZSM-5 and V z –K y –Mo2C x /ZSM-5 were further treated by the temperature-programmer-reaction ( TPRe ) method as described in literatures .",temperature,Mo2C
728,"The Mo-based carbide catalysts including Mo2C x /ZSM-5 , kelvin y –Mo2C x /ZSM-5 , V z –Mo2C x /ZSM-5 and V z –K y –Mo2C x /ZSM-5 were further treated by the temperature-programmer-reaction ( TPRe ) method as described in literatures .",temperature,Mo
729,"The Mo-based carbide catalysts including Mo2C x /ZSM-5 , kelvin y –Mo2C x /ZSM-5 , V z –Mo2C x /ZSM-5 and V z –K y –Mo2C x /ZSM-5 were further treated by the temperature-programmer-reaction ( TPRe ) method as described in literatures .",gram,carbide
730,"The Mo-based carbide catalysts including Mo2C x /ZSM-5 , kelvin y –Mo2C x /ZSM-5 , V z –Mo2C x /ZSM-5 and V z –K y –Mo2C x /ZSM-5 were further treated by the temperature-programmer-reaction ( TPRe ) method as described in literatures .",gram,Mo2C
731,"The Mo-based carbide catalysts including Mo2C x /ZSM-5 , kelvin y –Mo2C x /ZSM-5 , V z –Mo2C x /ZSM-5 and V z –K y –Mo2C x /ZSM-5 were further treated by the temperature-programmer-reaction ( TPRe ) method as described in literatures .",gram,Mo
732,"The Mo-based carbide catalysts including Mo2C x /ZSM-5 , kelvin y –Mo2C x /ZSM-5 , V z –Mo2C x /ZSM-5 and V z –K y –Mo2C x /ZSM-5 were further treated by the temperature-programmer-reaction ( TPRe ) method as described in literatures .",kelvin,carbide
733,"The Mo-based carbide catalysts including Mo2C x /ZSM-5 , kelvin y –Mo2C x /ZSM-5 , V z –Mo2C x /ZSM-5 and V z –K y –Mo2C x /ZSM-5 were further treated by the temperature-programmer-reaction ( TPRe ) method as described in literatures .",kelvin,Mo2C
734,"The Mo-based carbide catalysts including Mo2C x /ZSM-5 , kelvin y –Mo2C x /ZSM-5 , V z –Mo2C x /ZSM-5 and V z –K y –Mo2C x /ZSM-5 were further treated by the temperature-programmer-reaction ( TPRe ) method as described in literatures .",kelvin,Mo
735,"Catalyst inks were prepared by mixing appropriate amounts of the catalyst powders with Nafion solution ( 5wt. % , Sigma–Aldrich ) and isopropanol with a binder/solvent volume ratio of 0.04 .",volume,Nafion
736,"Finally , the NaBH4 aqueous solution was added and stirred for 20 min at room temperature to perform a reduction and obtain Pt/Nb2O5 − x photocatalyst powder with 2 wt % Pt catalyst adsorption .",temperature,Nb2O5
737,"Finally , the NaBH4 aqueous solution was added and stirred for 20 min at room temperature to perform a reduction and obtain Pt/Nb2O5 − x photocatalyst powder with 2 wt % Pt catalyst adsorption .",temperature,Pt
738,"Finally , the NaBH4 aqueous solution was added and stirred for 20 min at room temperature to perform a reduction and obtain Pt/Nb2O5 − x photocatalyst powder with 2 wt % Pt catalyst adsorption .",temperature,NaBH4
739,"Finally , the NaBH4 aqueous solution was added and stirred for 20 min at room temperature to perform a reduction and obtain Pt/Nb2O5 − x photocatalyst powder with 2 wt % Pt catalyst adsorption .",temperature,Pt
740,"The electrochemical measurements conducted on the Chenhua CHI660D electrochemical workstation in a three-electrode system that consists of Platinum wires as a counter electrode , photocatalyst as the working electrode and Ag/AgCl used as reference electrode while 0.5 Molality Na2SO4 electrolyte solution used .",Molality,Na2SO4
741,"The electrochemical measurements conducted on the Chenhua CHI660D electrochemical workstation in a three-electrode system that consists of Platinum wires as a counter electrode , photocatalyst as the working electrode and Ag/AgCl used as reference electrode while 0.5 Molality Na2SO4 electrolyte solution used .",Molality,Ag
742,"The electrochemical measurements conducted on the Chenhua CHI660D electrochemical workstation in a three-electrode system that consists of Platinum wires as a counter electrode , photocatalyst as the working electrode and Ag/AgCl used as reference electrode while 0.5 Molality Na2SO4 electrolyte solution used .",Molality,AgCl
743,"The electrochemical measurements conducted on the Chenhua CHI660D electrochemical workstation in a three-electrode system that consists of Platinum wires as a counter electrode , photocatalyst as the working electrode and Ag/AgCl used as reference electrode while 0.5 Molality Na2SO4 electrolyte solution used .",Molality,Platinum
744,"The mixture of suspension was then coated onto an ITO conductive glass ( indium tin oxide coated , dimensions 2 × 1 cm ) by spin coating and was then dried at 50 celcius for 5 h. The prepared catalyst/ITO electrode was used as the working electrode , the saturated calomel electrode and the platinum electrode as the reference electrode and the counter electrode , respectively .",celcius,platinum
745,"The mixture of suspension was then coated onto an ITO conductive glass ( indium tin oxide coated , dimensions 2 × 1 cm ) by spin coating and was then dried at 50 celcius for 5 h. The prepared catalyst/ITO electrode was used as the working electrode , the saturated calomel electrode and the platinum electrode as the reference electrode and the counter electrode , respectively .",celcius,ITO
746,0.1mL Nafion aqueous dispersion containing desired concentration of Nafion and ethanol was applied uniformly on top of the photocatalyst layer .,concentration,Nafion
747,0.1mL Nafion aqueous dispersion containing desired concentration of Nafion and ethanol was applied uniformly on top of the photocatalyst layer .,concentration,Nafion
748,A series of mesoporous yttria-stabilized zirconia were prepared by a templating sol–gel method with a variation of Y/Zr molar ratio for use as a supporting material for Ni catalyst .,molar ratio,zirconia
749,A series of mesoporous yttria-stabilized zirconia were prepared by a templating sol–gel method with a variation of Y/Zr molar ratio for use as a supporting material for Ni catalyst .,molar ratio,Zr
750,A series of mesoporous yttria-stabilized zirconia were prepared by a templating sol–gel method with a variation of Y/Zr molar ratio for use as a supporting material for Ni catalyst .,molar ratio,Ni
751,"In detail , 50 mg of photocatalyst was added into a clean external-irradiation photoreactor and 50 mL Na2SO3 ( 0.25 Molality ) and Na2S ( 0.35 Molality ) mixed aqueous solution were added .",Molality,Na2S
752,"In detail , 50 mg of photocatalyst was added into a clean external-irradiation photoreactor and 50 mL Na2SO3 ( 0.25 Molality ) and Na2S ( 0.35 Molality ) mixed aqueous solution were added .",Molality,Na2SO3
753,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was purged with argon under stirring then closed , and heated up with the rate of ∼7 °C/min to reach the reaction temperature of 150 ± 1 celcius .",temperature,argon
754,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was purged with argon under stirring then closed , and heated up with the rate of ∼7 °C/min to reach the reaction temperature of 150 ± 1 celcius .",temperature,nickel
755,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was purged with argon under stirring then closed , and heated up with the rate of ∼7 °C/min to reach the reaction temperature of 150 ± 1 celcius .",temperature,aluminum
756,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was purged with argon under stirring then closed , and heated up with the rate of ∼7 °C/min to reach the reaction temperature of 150 ± 1 celcius .",gram,argon
757,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was purged with argon under stirring then closed , and heated up with the rate of ∼7 °C/min to reach the reaction temperature of 150 ± 1 celcius .",gram,nickel
758,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was purged with argon under stirring then closed , and heated up with the rate of ∼7 °C/min to reach the reaction temperature of 150 ± 1 celcius .",gram,aluminum
759,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was purged with argon under stirring then closed , and heated up with the rate of ∼7 °C/min to reach the reaction temperature of 150 ± 1 celcius .",celcius,argon
760,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was purged with argon under stirring then closed , and heated up with the rate of ∼7 °C/min to reach the reaction temperature of 150 ± 1 celcius .",celcius,nickel
761,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was purged with argon under stirring then closed , and heated up with the rate of ∼7 °C/min to reach the reaction temperature of 150 ± 1 celcius .",celcius,aluminum
762,"The effect of content of Au loading , mass ratio of catalyst to cellulose , pyrolysis and catalytic temperature on the production of LCAs were studied .",temperature,Au
763,"( 1 ) X Ethanol = 100 ∙ F Ethanol int − F Ethanol out F Ethanol int ( 2 ) W F = molarity c F T 0 ( 3 ) R H 2 = F H 2 F Ethanol int ( 4 ) H 2 recovery % = H 2 permeated H 2 produced x 100 where Fin ethanol and Fout ethanol are the molar flow of ethanol at the reactor inlet and outlet , respectively ; mc is the catalyst mass and Fo T is the total flow in the inlet ( including Ar ) ; RH2 is the hydrogen yield and FH2 is molar flow of hydrogen produced .",molarity,Ar
764,The final catalysts were retrieved and dried at 105 celcius for 5 h. Various techniques were used for the characterization of Pd NP supported on mesoporous oxide catalysts .,celcius,Pd
765,"A supported Pd catalyst ( 10 mg ) was mixed with FAL ( 1 gram , Acros , 99 % ) and isopropanol ( 20 mL , Sigma-Aldrich ) in a 100 mL stainless-steel autoclave reactor ( Parr 5500 ) .",gram,Pd
766,2.4.1 Catalytic oxidative degradation of dyes with H2O2 ; Fenton-like reaction The synthesized PVA/Cu2O nanocomposite was used as a catalyst in Fenton-like reaction for the oxidative degradation of methylene blue ( MB ) and malachite green ( MG ) at ambient temperature ( 25 celcius ) .,temperature,Cu2O
767,2.4.1 Catalytic oxidative degradation of dyes with H2O2 ; Fenton-like reaction The synthesized PVA/Cu2O nanocomposite was used as a catalyst in Fenton-like reaction for the oxidative degradation of methylene blue ( MB ) and malachite green ( MG ) at ambient temperature ( 25 celcius ) .,celcius,Cu2O
768,"To process an aqueous-phase biomass reforming reaction over carbon textile supported Pt catalysts or Pt–Ru bimetallic catalysts for bio-hydrogen generation , 15.3 ml of 1 N sulfuric acid was added into the autoclave reactor containing 15 gram α-cellulose ( Sigma , 9004-34-6 ) and an equivalent weight of 18.75 mg Pt/C or PtRu/C mixed in 300 ml de-ionized water .",weight,Pt
769,"To process an aqueous-phase biomass reforming reaction over carbon textile supported Pt catalysts or Pt–Ru bimetallic catalysts for bio-hydrogen generation , 15.3 ml of 1 N sulfuric acid was added into the autoclave reactor containing 15 gram α-cellulose ( Sigma , 9004-34-6 ) and an equivalent weight of 18.75 mg Pt/C or PtRu/C mixed in 300 ml de-ionized water .",weight,Pt
770,"To process an aqueous-phase biomass reforming reaction over carbon textile supported Pt catalysts or Pt–Ru bimetallic catalysts for bio-hydrogen generation , 15.3 ml of 1 N sulfuric acid was added into the autoclave reactor containing 15 gram α-cellulose ( Sigma , 9004-34-6 ) and an equivalent weight of 18.75 mg Pt/C or PtRu/C mixed in 300 ml de-ionized water .",gram,Pt
771,"To process an aqueous-phase biomass reforming reaction over carbon textile supported Pt catalysts or Pt–Ru bimetallic catalysts for bio-hydrogen generation , 15.3 ml of 1 N sulfuric acid was added into the autoclave reactor containing 15 gram α-cellulose ( Sigma , 9004-34-6 ) and an equivalent weight of 18.75 mg Pt/C or PtRu/C mixed in 300 ml de-ionized water .",gram,Pt
772,"For catalyst regeneration , the remaining in situ formed Pd0 particles in the mixture were recovered through filtration , and successively washed with ethanol for 3 times , dried at room temperature ( r.t. ) under atmosphere pressure .",temperature,Pd0
773,"For catalyst regeneration , the remaining in situ formed Pd0 particles in the mixture were recovered through filtration , and successively washed with ethanol for 3 times , dried at room temperature ( r.t. ) under atmosphere pressure .",pressure,Pd0
774,"For catalyst regeneration , the remaining in situ formed Pd0 particles in the mixture were recovered through filtration , and successively washed with ethanol for 3 times , dried at room temperature ( r.t. ) under atmosphere pressure .",atm,Pd0
775,"As far as the HAS with MoS2 catalyst type is concerned , and according to the Langmuir–Hinshelwood ( LH ) model , the reaction rate is expressed by the following equation , based on mass of the catalyst and the partial pressure of the components that take part in the reaction : ( 1 ) r i = A i ⋅ exp − E i R ( 1 T − 1 T o ) ︷ kinetic factor ︷ driving force [ ∑ i = 1 Molality kelvin i ( ∏ j = 1 N p j a j ) ] molarity ︸ adsorption The production rates of methanol , ethanol , propanol and methane are evaluated according to the kinetic model that is presented in Ref .",pressure,MoS2
776,"As far as the HAS with MoS2 catalyst type is concerned , and according to the Langmuir–Hinshelwood ( LH ) model , the reaction rate is expressed by the following equation , based on mass of the catalyst and the partial pressure of the components that take part in the reaction : ( 1 ) r i = A i ⋅ exp − E i R ( 1 T − 1 T o ) ︷ kinetic factor ︷ driving force [ ∑ i = 1 Molality kelvin i ( ∏ j = 1 N p j a j ) ] molarity ︸ adsorption The production rates of methanol , ethanol , propanol and methane are evaluated according to the kinetic model that is presented in Ref .",molarity,MoS2
777,"As far as the HAS with MoS2 catalyst type is concerned , and according to the Langmuir–Hinshelwood ( LH ) model , the reaction rate is expressed by the following equation , based on mass of the catalyst and the partial pressure of the components that take part in the reaction : ( 1 ) r i = A i ⋅ exp − E i R ( 1 T − 1 T o ) ︷ kinetic factor ︷ driving force [ ∑ i = 1 Molality kelvin i ( ∏ j = 1 N p j a j ) ] molarity ︸ adsorption The production rates of methanol , ethanol , propanol and methane are evaluated according to the kinetic model that is presented in Ref .",Molality,MoS2
778,"As far as the HAS with MoS2 catalyst type is concerned , and according to the Langmuir–Hinshelwood ( LH ) model , the reaction rate is expressed by the following equation , based on mass of the catalyst and the partial pressure of the components that take part in the reaction : ( 1 ) r i = A i ⋅ exp − E i R ( 1 T − 1 T o ) ︷ kinetic factor ︷ driving force [ ∑ i = 1 Molality kelvin i ( ∏ j = 1 N p j a j ) ] molarity ︸ adsorption The production rates of methanol , ethanol , propanol and methane are evaluated according to the kinetic model that is presented in Ref .",kelvin,MoS2
779,The prepared mixture was transferred into a porcelain boat and heated inside a tube furnace under argon flow at 600 celcius for 10 h. A series of Au-Pd/SN nanocomposite catalysts were prepared via a photodeposition method .,celcius,argon
780,The prepared mixture was transferred into a porcelain boat and heated inside a tube furnace under argon flow at 600 celcius for 10 h. A series of Au-Pd/SN nanocomposite catalysts were prepared via a photodeposition method .,celcius,porcelain
781,The prepared mixture was transferred into a porcelain boat and heated inside a tube furnace under argon flow at 600 celcius for 10 h. A series of Au-Pd/SN nanocomposite catalysts were prepared via a photodeposition method .,celcius,Pd
782,The prepared mixture was transferred into a porcelain boat and heated inside a tube furnace under argon flow at 600 celcius for 10 h. A series of Au-Pd/SN nanocomposite catalysts were prepared via a photodeposition method .,celcius,Au
783,A schematic diagram of the experimental procedures including the preparation of Ni/Mg–Al–O/AC catalyst and integrated aldol condensation was provided in Fig .,gram,Al
784,A schematic diagram of the experimental procedures including the preparation of Ni/Mg–Al–O/AC catalyst and integrated aldol condensation was provided in Fig .,gram,Ni
785,A schematic diagram of the experimental procedures including the preparation of Ni/Mg–Al–O/AC catalyst and integrated aldol condensation was provided in Fig .,gram,Mg
786,"Characterization of catalysts for aldol condensation like MgO was carried out by CO2 temperature programmed desorption ( AutoChem 2920 instrument , Micromeritics , USA ) .",temperature,MgO
787,"Characterization of catalysts for aldol condensation like MgO was carried out by CO2 temperature programmed desorption ( AutoChem 2920 instrument , Micromeritics , USA ) .",gram,MgO
788,"Douglas fir ( 1 gram ) and Biochar catalyst ( by ratios ) were first introduced into the quartz tube ( inner diameter , 20 mm ; length , 600 mm ) , then purged with N2 at a flow rate of 300 mL/min for 15 min to create an oxygen-free environment .",gram,quartz
789,"These experiments were carried out after in situ reduction of the catalyst with 10 % H2/Ar flow of 30 mL.min−1 up to 450 celcius for 1 h. Subsequently , the sample was cooled to the reaction temperature .",temperature,Ar
790,"These experiments were carried out after in situ reduction of the catalyst with 10 % H2/Ar flow of 30 mL.min−1 up to 450 celcius for 1 h. Subsequently , the sample was cooled to the reaction temperature .",celcius,Ar
791,"water , ethanol and the catalyst ; another , connected to a porous septum , to allow the collection of the produced gas through a gas-tight syringe ; the last one to connect the upper side of the reactor to a vacuum pump and to a line of argon ( grade 99,9999 % ) filling the free volume of the reactor at the pressure of 1bar ( this pressure assured better values for the sonophotolysis tests ) .",pressure,argon
792,"water , ethanol and the catalyst ; another , connected to a porous septum , to allow the collection of the produced gas through a gas-tight syringe ; the last one to connect the upper side of the reactor to a vacuum pump and to a line of argon ( grade 99,9999 % ) filling the free volume of the reactor at the pressure of 1bar ( this pressure assured better values for the sonophotolysis tests ) .",volume,argon
793,"Prior to GSR reaction , an in-situ reduction pre-treatment at 650°C for 1.5h by a mixture stream of H2/argon ( total flow of 50 STDmLmin−1 with 20vol % H2 ) was performed to activate the catalyst .",atm,argon
794,"Then , the solid catalyst sample ( 25mg ) was introduced in a Teflon crucible , followed by the addition of methanol and water ( 10ml MeOH/H2O in the volume ratio of 1/1 ) .",volume,Teflon
795,The photocatalytic reaction was carried out at room temperature with 0.1g CdS ( bulk ) / TiO 2 composite photocatalyst powders suspended by a magnetic stirrer and using an Hg-arc lamp ( 500W ) equipped with a cutoff filter ( λ ⩾ 420 nm ) .,temperature,TiO
796,The photocatalytic reaction was carried out at room temperature with 0.1g CdS ( bulk ) / TiO 2 composite photocatalyst powders suspended by a magnetic stirrer and using an Hg-arc lamp ( 500W ) equipped with a cutoff filter ( λ ⩾ 420 nm ) .,temperature,Hg
797,The photocatalytic reaction was carried out at room temperature with 0.1g CdS ( bulk ) / TiO 2 composite photocatalyst powders suspended by a magnetic stirrer and using an Hg-arc lamp ( 500W ) equipped with a cutoff filter ( λ ⩾ 420 nm ) .,temperature,CdS
798,γ-Al2O3 support was obtained by calcining commercialized pseudo-boehmite at 500 celcius for 3 h. ZrO2 modified Au-Pd/γ-Al2O3 catalyst was prepared by a stepwise impregnation method .,celcius,Pd
799,γ-Al2O3 support was obtained by calcining commercialized pseudo-boehmite at 500 celcius for 3 h. ZrO2 modified Au-Pd/γ-Al2O3 catalyst was prepared by a stepwise impregnation method .,celcius,Au
800,γ-Al2O3 support was obtained by calcining commercialized pseudo-boehmite at 500 celcius for 3 h. ZrO2 modified Au-Pd/γ-Al2O3 catalyst was prepared by a stepwise impregnation method .,celcius,ZrO2
801,"1wt. % Ru catalyst , 0.300 mmole of RuCl3 in 20mL H2O were added dropwise into a suspension of activated carbon ( 3 gr ) in water ( 70mL ) under stirring , and the mixture was further stirred for 22h at room temperature .",temperature,RuCl3
802,"1wt. % Ru catalyst , 0.300 mmole of RuCl3 in 20mL H2O were added dropwise into a suspension of activated carbon ( 3 gr ) in water ( 70mL ) under stirring , and the mixture was further stirred for 22h at room temperature .",temperature,Ru
803,"for the case of sorbitol : Ssorbitol ( % ) = ( mol C of sorbitol/mol of total C converted ) ×100 In order to determine the moles of total C converted , the C moles of initial and non-converted cellulose were estimated by the equation : C moles of cellulose = [ mass of cellulose/ ( 0.9 × 180.16 ) ] * 6 The yield of products was estimated from their mass and the mass of initial cellulose used , with the following equation : Yield ( % ) = ( mproduct/mcellulose feed ) ×100 The bifunctional catalysts ( 5 % Ru/AC-SO3H & 5 % Pt/AC-SO3H ) were also evaluated for their stability and reusability in the hydrolytic hydrogenation of microcrystalline cellulose at 2MPa hydrogen pressure , for 24h at 180°C .",pressure,Ru
804,"Prior to the reforming reactions , the Ni–Co/HT catalyst was activated by reducing metal oxides under a flowing gas mixture of 50 vol % H2–N2 with a total flow rate of 200 Nml min−1 at 670 celcius for 10 h. After catalyst reduction , the reactor was purged with N2 and cooled down to the desired reaction temperature ( 525–600 celcius ) .",temperature,Ni
805,"Prior to the reforming reactions , the Ni–Co/HT catalyst was activated by reducing metal oxides under a flowing gas mixture of 50 vol % H2–N2 with a total flow rate of 200 Nml min−1 at 670 celcius for 10 h. After catalyst reduction , the reactor was purged with N2 and cooled down to the desired reaction temperature ( 525–600 celcius ) .",temperature,Co
806,"Prior to the reforming reactions , the Ni–Co/HT catalyst was activated by reducing metal oxides under a flowing gas mixture of 50 vol % H2–N2 with a total flow rate of 200 Nml min−1 at 670 celcius for 10 h. After catalyst reduction , the reactor was purged with N2 and cooled down to the desired reaction temperature ( 525–600 celcius ) .",celcius,Ni
807,"Prior to the reforming reactions , the Ni–Co/HT catalyst was activated by reducing metal oxides under a flowing gas mixture of 50 vol % H2–N2 with a total flow rate of 200 Nml min−1 at 670 celcius for 10 h. After catalyst reduction , the reactor was purged with N2 and cooled down to the desired reaction temperature ( 525–600 celcius ) .",celcius,Co
808,"2.2.3 Synthesis of a series of Mo2C/K+CNO− The fabrication of the composite was carried out by adding different mass ratios of Mo2C ( 0.5 , 1 , 3 and 5 wt. % ) to K+Ca2Nb3O10 − nanosheets dispersion dropwise in 30 mL of deionized water and stirring at room temperature for 2 h , followed by centrifugation , washing and drying to obtain the target product Mo2C/K+Ca2Nb3O10 −heterojunction photocatalyst .",temperature,Mo2C
809,"2.2.3 Synthesis of a series of Mo2C/K+CNO− The fabrication of the composite was carried out by adding different mass ratios of Mo2C ( 0.5 , 1 , 3 and 5 wt. % ) to K+Ca2Nb3O10 − nanosheets dispersion dropwise in 30 mL of deionized water and stirring at room temperature for 2 h , followed by centrifugation , washing and drying to obtain the target product Mo2C/K+Ca2Nb3O10 −heterojunction photocatalyst .",temperature,Mo2C
810,"2.2.3 Synthesis of a series of Mo2C/K+CNO− The fabrication of the composite was carried out by adding different mass ratios of Mo2C ( 0.5 , 1 , 3 and 5 wt. % ) to K+Ca2Nb3O10 − nanosheets dispersion dropwise in 30 mL of deionized water and stirring at room temperature for 2 h , followed by centrifugation , washing and drying to obtain the target product Mo2C/K+Ca2Nb3O10 −heterojunction photocatalyst .",temperature,Mo2C
811,"The temperature-programmed reduction ( TPR ) experiments were performed over Ni-based catalysts ( 100 mg each ) in a fixed-bed reactor with 5.0 % H2/N2 at 10 °C/min , and the uptake of hydrogen was recorded by a thermal conduction detector ( TCD ) .",temperature,Ni
812,"The temperature-programmed reduction ( TPR ) experiments were performed over Ni-based catalysts ( 100 mg each ) in a fixed-bed reactor with 5.0 % H2/N2 at 10 °C/min , and the uptake of hydrogen was recorded by a thermal conduction detector ( TCD ) .",gram,Ni
813,"Optimal catalyst with molar ratio of 1.66 ( determined after catalysts reaction tests ) was selected and molar ratio of potassium to cobalt was altered from 0.4 , 0.6 and 0.8 .",molar ratio,potassium
