,sentence,catalyst
2367,A flowing mixture of CO2/Ar (10% vol/vol) was admitted to the catalyst at 30°C.,Ar
2368,Preparation of working electrode: 5 mg catalyst powder and 0.5 mg black carbon was dispersed in the mixed solution of 1 ml ethanol and 10 μL Nafion (5 wt%) and sonicated for 30 min to form a homogenous ink.,Nafion
2369,The stability of the catalyst in 0.5 M H2SO4 was tested by chronoamperometry at 136 mV vs. RHE.,H2SO4
2370,Many kinetic models are developed for FTS reaction on iron catalysts.,iron
2371,"The total surface areas and average pore size of the fresh iron-based catalysts were estimated by the Brunauer, Emmett and Teller (BET) approach and Barrett–Joyner–Halenda (BJH) method using a Micromeritics ASAP 2010 equipment.",iron
2372,"Thus, the iron catalysts were activated with two-step protocol for transformation of hematite to iron carbides (Fe2O3→Fe3O4→Fe x C y ) during the pre-treatment in situ the reactor.",iron
2373,"The reduction of the four catalysts, Ni(10)/Ga(x)/Mg(30)/Zeolite Y (x =0, 10, 20, 30), involved reducing with H2 at 700°C for 2h, followed by cooling to room temperature under argon gas.",argon
2374,About 0.3g of the catalysts was pre-treated under helium flow (30ml/min) at 700°C for 2h and then cooled to room temperature.,helium
2375,The catalyst evaluation was performed in a 100 mL stainless steel autoclave lined with teflon and a round quartz window.,quartz
2376,"In this work, 0.4 g oxidized catalyst and 0.1 g sulfur powder were put into a 100 mL stainless steel autoclave.",sulfur
2377,A typical outlet gas composition is provided as a table in the supporting information for the cobalt catalysts tested for the hydrogenation reaction of CO2 at different activation conditions.,cobalt
2378,To enhance the catalytic activity of catalyst we added alumina to Cu-Zn metal oxides in two ways.,alumina
2379,"Appropriate pre-chosen gas was passed over the catalysts (9.8mol% NH3 in He, 10mol% CO2 in He, or 4.9mol% H2 in Ar) at the flow rate of 30mLmin−1 for 60min.",Ar
2380,"Following this, 10mol% N2O (in He) mixture with the flow rate of 50mLmin−1 was introduced to the catalyst bed at 50°C for 10min to perform the dissociative adsorption and corresponding oxidation of Cu0 surface to Cu2O.",N2O
2381,"Following this, 10mol% N2O (in He) mixture with the flow rate of 50mLmin−1 was introduced to the catalyst bed at 50°C for 10min to perform the dissociative adsorption and corresponding oxidation of Cu0 surface to Cu2O.",Cu2O
2382,"Prior to the reaction, the catalyst was reduced with hydrogen in flowing argon (4.9% H2 in He) at a total flow rate of 50mL/min at a temperature of 600°C for one hour.",argon
2383,Decomposition of ammonia was carried out on individual γ-alumina support and empty quartz tube at different temperatures and the reaction conditions were maintained similar to those employed for the decomposition on prepared catalysts.,quartz
2384,"The Mo2C nanoclusters were prepared on α-Al2O3 by incipient wetness impregnation of an aqueous solution of (NH4)6Mo7O24 followed by drying, calcination, reduction, and temperature-programmed carburization up to 900K (with a mixture of C2H6 and H2) as described in detail in previous work , the 5wt.% Mo2C/Al2O3 catalyst showed a 4.7wt.% Mo loading and a C/Mo molar ratio of 0.39.",Mo
2385,"The Mo2C nanoclusters were prepared on α-Al2O3 by incipient wetness impregnation of an aqueous solution of (NH4)6Mo7O24 followed by drying, calcination, reduction, and temperature-programmed carburization up to 900K (with a mixture of C2H6 and H2) as described in detail in previous work , the 5wt.% Mo2C/Al2O3 catalyst showed a 4.7wt.% Mo loading and a C/Mo molar ratio of 0.39.",Al2O3
2386,"The Mo2C nanoclusters were prepared on α-Al2O3 by incipient wetness impregnation of an aqueous solution of (NH4)6Mo7O24 followed by drying, calcination, reduction, and temperature-programmed carburization up to 900K (with a mixture of C2H6 and H2) as described in detail in previous work , the 5wt.% Mo2C/Al2O3 catalyst showed a 4.7wt.% Mo loading and a C/Mo molar ratio of 0.39.",Mo2C
2387,"The Mo2C nanoclusters were prepared on α-Al2O3 by incipient wetness impregnation of an aqueous solution of (NH4)6Mo7O24 followed by drying, calcination, reduction, and temperature-programmed carburization up to 900K (with a mixture of C2H6 and H2) as described in detail in previous work , the 5wt.% Mo2C/Al2O3 catalyst showed a 4.7wt.% Mo loading and a C/Mo molar ratio of 0.39.",Mo
2388,"The Mo2C nanoclusters were prepared on α-Al2O3 by incipient wetness impregnation of an aqueous solution of (NH4)6Mo7O24 followed by drying, calcination, reduction, and temperature-programmed carburization up to 900K (with a mixture of C2H6 and H2) as described in detail in previous work , the 5wt.% Mo2C/Al2O3 catalyst showed a 4.7wt.% Mo loading and a C/Mo molar ratio of 0.39.",Mo2C
2389,Our lab has used SSITKA to study a variety of reactions on solid catalysts such as ammonia synthesis on Ru  and is shown in Fig.,Ru
2390,"Although higher pressures were utilized in our previous works with supported Mo2C catalysts (30bar) , a lower pressure was used in our transient experiments to minimize the consumption of 13CO because the amount of 13CO provided in the lecture bottles was quite limited.",Mo2C
2391,Precursors used for preparation of all supported Mo2C catalysts are shown in Table S1 in the supplementary materials.,Mo2C
2392,"The catalysts can be divided in three groups: (a) 5wt% of Mo2C on AC, CNT, and TiO2 (all promoted by K2CO3 to yield a molar ratio of K/Mo=0.14); (b) 5, 20, 40wt% of Mo2C on AC (all promoted to K/Mo=0.14, mol/mol); (c) 20wt% Mo2C/AC promoted to K/Mo=0, 0.14, 0.21, 0.28, mol/mol.",Mo
2393,"The catalysts can be divided in three groups: (a) 5wt% of Mo2C on AC, CNT, and TiO2 (all promoted by K2CO3 to yield a molar ratio of K/Mo=0.14); (b) 5, 20, 40wt% of Mo2C on AC (all promoted to K/Mo=0.14, mol/mol); (c) 20wt% Mo2C/AC promoted to K/Mo=0, 0.14, 0.21, 0.28, mol/mol.",Mo2C
2394,"The catalysts can be divided in three groups: (a) 5wt% of Mo2C on AC, CNT, and TiO2 (all promoted by K2CO3 to yield a molar ratio of K/Mo=0.14); (b) 5, 20, 40wt% of Mo2C on AC (all promoted to K/Mo=0.14, mol/mol); (c) 20wt% Mo2C/AC promoted to K/Mo=0, 0.14, 0.21, 0.28, mol/mol.",Mo
2395,"The catalysts can be divided in three groups: (a) 5wt% of Mo2C on AC, CNT, and TiO2 (all promoted by K2CO3 to yield a molar ratio of K/Mo=0.14); (b) 5, 20, 40wt% of Mo2C on AC (all promoted to K/Mo=0.14, mol/mol); (c) 20wt% Mo2C/AC promoted to K/Mo=0, 0.14, 0.21, 0.28, mol/mol.",Mo2C
2396,"The catalysts can be divided in three groups: (a) 5wt% of Mo2C on AC, CNT, and TiO2 (all promoted by K2CO3 to yield a molar ratio of K/Mo=0.14); (b) 5, 20, 40wt% of Mo2C on AC (all promoted to K/Mo=0.14, mol/mol); (c) 20wt% Mo2C/AC promoted to K/Mo=0, 0.14, 0.21, 0.28, mol/mol.",Mo2C
2397,"The catalysts can be divided in three groups: (a) 5wt% of Mo2C on AC, CNT, and TiO2 (all promoted by K2CO3 to yield a molar ratio of K/Mo=0.14); (b) 5, 20, 40wt% of Mo2C on AC (all promoted to K/Mo=0.14, mol/mol); (c) 20wt% Mo2C/AC promoted to K/Mo=0, 0.14, 0.21, 0.28, mol/mol.",K2CO3
2398,"The catalysts can be divided in three groups: (a) 5wt% of Mo2C on AC, CNT, and TiO2 (all promoted by K2CO3 to yield a molar ratio of K/Mo=0.14); (b) 5, 20, 40wt% of Mo2C on AC (all promoted to K/Mo=0.14, mol/mol); (c) 20wt% Mo2C/AC promoted to K/Mo=0, 0.14, 0.21, 0.28, mol/mol.",TiO2
2399,"Finally, the catalyst was heated at 473K for 2h to obtain Au/MT200, Au/MT300 and Au/MT400.",Au
2400,"Finally, the catalyst was heated at 473K for 2h to obtain Au/MT200, Au/MT300 and Au/MT400.",Au
2401,"Finally, the catalyst was heated at 473K for 2h to obtain Au/MT200, Au/MT300 and Au/MT400.",Au
2402,"The structural periodicity of the catalysts was confirmed by XRD using a RINT 2200 diffractometer (equipped with a Cu target, Rigaku Co.) operated at 40kV and 40mA.",Co
2403,"The structural periodicity of the catalysts was confirmed by XRD using a RINT 2200 diffractometer (equipped with a Cu target, Rigaku Co.) operated at 40kV and 40mA.",Cu
2404,The binary-phase (BA) TiO2 photocatalysts with different B/A ratios were prepared according to the procedure described previously .,TiO2
2405,"The crystalline properties of titania photocatalysts were analyzed by X-ray diffraction (XRD), carried out on Brukeraxs D8, Germany (using Cu Kα radiation, λ = 0.15405 nm, and a secondary monochromator).",titania
2406,"The crystalline properties of titania photocatalysts were analyzed by X-ray diffraction (XRD), carried out on Brukeraxs D8, Germany (using Cu Kα radiation, λ = 0.15405 nm, and a secondary monochromator).",Cu
2407,X-ray powder diffraction (XRD) of the prepared catalysts was performed on a JEOL X-ray diffractometer system (JDX-3530) with a Cu Kα (1.5406Å) X-ray source operating at 40kV and 30mA.,Cu
2408,Temperature-programmed reduction (TPR) was utilized for the evaluation of the reducibility of the catalysts and was employed by using 10% H2 in Ar at 30mL/min as a reducing gas in a conventional TPR reactor equipped with a thermal conductivity detector.,Ar
2409,"Generally, the metal content in metal supported catalysts is analyzed by ICP, however the SiC is resistant to acid corrosion.",SiC
2410,"To prepare the working electrode, 4 mg catalyst, 2 ml isopropyl alcohol and 50 μL Nafion solution (5 wt%) were mixed under sonication for 30 min to form a homogeneous ink.",Nafion
2411,"Three types of monometallic catalysts Pd/C, Ni/C and Cu/C were prepared to serve as control materials.",Cu
2412,"Three types of monometallic catalysts Pd/C, Ni/C and Cu/C were prepared to serve as control materials.",Pd
2413,"Three types of monometallic catalysts Pd/C, Ni/C and Cu/C were prepared to serve as control materials.",Ni
2414,"For each experiment, 50mg of catalyst was initially reduced at 400°C for 2h, then the reduced sample was treated in a flow of argon at the reduction temperature for 0.5h (flow rate=100cm3/min) and then cooled to room temperature under argon atmosphere.",argon
2415,"For each experiment, 50mg of catalyst was initially reduced at 400°C for 2h, then the reduced sample was treated in a flow of argon at the reduction temperature for 0.5h (flow rate=100cm3/min) and then cooled to room temperature under argon atmosphere.",argon
2416,"For the ECR mode, an annular Ni–Cr wire, which passed through a given ac electronic current, entwined around a quartz column for heating the catalyst and synchronously providing the electrons onto the catalyst, and installed in the center of the reactor.",Cr
2417,"For the ECR mode, an annular Ni–Cr wire, which passed through a given ac electronic current, entwined around a quartz column for heating the catalyst and synchronously providing the electrons onto the catalyst, and installed in the center of the reactor.",quartz
2418,"For the ECR mode, an annular Ni–Cr wire, which passed through a given ac electronic current, entwined around a quartz column for heating the catalyst and synchronously providing the electrons onto the catalyst, and installed in the center of the reactor.",Ni
2419,"The SiO2, ZnO, ZrO2, CeO2, and MgO oxide catalysts were purchased from Sigma-Aldrich and sieved (ATM fine tests sieves) into a batch of 75 μm mean particle diameter (d catalyst), prior to catalytic measurements.",ZrO2
2420,"The SiO2, ZnO, ZrO2, CeO2, and MgO oxide catalysts were purchased from Sigma-Aldrich and sieved (ATM fine tests sieves) into a batch of 75 μm mean particle diameter (d catalyst), prior to catalytic measurements.",ZnO
2421,"The SiO2, ZnO, ZrO2, CeO2, and MgO oxide catalysts were purchased from Sigma-Aldrich and sieved (ATM fine tests sieves) into a batch of 75 μm mean particle diameter (d catalyst), prior to catalytic measurements.",SiO2
2422,"The SiO2, ZnO, ZrO2, CeO2, and MgO oxide catalysts were purchased from Sigma-Aldrich and sieved (ATM fine tests sieves) into a batch of 75 μm mean particle diameter (d catalyst), prior to catalytic measurements.",CeO2
2423,"The oxide catalysts (50–300 mg) were first loaded into a cell (U-shaped Pyrex glass, internal diameter = 3.76 mm), outgassed (ramp = 10 K min−1, final temperature = 573 K, final isothermal hold time = 1 h) in helium (flow = 40 cm3 min−1, BOC, ≥99.99%) and cooled to 323 K. A continuous flow of carbon dioxide (flow = 40 cm2 min−1, BOC, 99.5%, time = 30 min) was subsequently introduced, sufficient for surface saturation.",helium
2424,"The oxide catalysts (50–300 mg) were first loaded into a cell (U-shaped Pyrex glass, internal diameter = 3.76 mm), outgassed (ramp = 10 K min−1, final temperature = 573 K, final isothermal hold time = 1 h) in helium (flow = 40 cm3 min−1, BOC, ≥99.99%) and cooled to 323 K. A continuous flow of carbon dioxide (flow = 40 cm2 min−1, BOC, 99.5%, time = 30 min) was subsequently introduced, sufficient for surface saturation.",oxide
2425,2 cm) of borosilicate glass beads (external diameter = 1 mm) situated above the catalytic bed ensured the vaporisation of the organic reactants and that they contacted the catalyst bed at reaction temperature.,borosilicate
2426,"For each reaction test, the amount of catalyst was fixed at 30 mg to maintain a constant palladium loading within the reactor.",palladium
2427,The methodology for the synthesis of Cu–Cr catalysts is shown in Fig.,Cr
2428,The methodology for the synthesis of Cu–Cr catalysts is shown in Fig.,Cu
2429,"In the second step, the Cu–Cr catalyst was obtained through the calcination of Cu–Cr hydrotalcite precursor at 950 °C for 10 h with a heating rate of 2 °C/min in the air oven.",Cr
2430,"In the second step, the Cu–Cr catalyst was obtained through the calcination of Cu–Cr hydrotalcite precursor at 950 °C for 10 h with a heating rate of 2 °C/min in the air oven.",Cu
2431,"In the second step, the Cu–Cr catalyst was obtained through the calcination of Cu–Cr hydrotalcite precursor at 950 °C for 10 h with a heating rate of 2 °C/min in the air oven.",Cu
2432,"The resultant Cu–Cr catalyst with the Cu2+/Cr3+ ratio of 0.5, 1 and 2, hereafter defined as Cu–Cr0.5, Cu–Cr1 and Cu–Cr2.",Cu
2433,"The resultant Cu–Cr catalyst with the Cu2+/Cr3+ ratio of 0.5, 1 and 2, hereafter defined as Cu–Cr0.5, Cu–Cr1 and Cu–Cr2.",Cr
2434,"The resultant Cu–Cr catalyst with the Cu2+/Cr3+ ratio of 0.5, 1 and 2, hereafter defined as Cu–Cr0.5, Cu–Cr1 and Cu–Cr2.",Cu
2435,"The resultant Cu–Cr catalyst with the Cu2+/Cr3+ ratio of 0.5, 1 and 2, hereafter defined as Cu–Cr0.5, Cu–Cr1 and Cu–Cr2.",Cu
2436,"For the calcinated Cu–Cr catalysts, the data were collected in the range of 15–85° with a step width of 0.05°/2θ.",Cr
2437,"For the calcinated Cu–Cr catalysts, the data were collected in the range of 15–85° with a step width of 0.05°/2θ.",Cu
2438,"The CNF growth comprised three steps: (1) decomposition of C2H2 into C and H2 at active sites of the Zn-metal catalyst, (2) diffusion of carbon atoms into the metal catalyst, and (3) precipitation and crystallization of carbon to grow the CNFs.",Zn
2439,"In brief, the method consists in the polycondensation of resorcinol (R) with formaldehyde (F) in aqueous media (W), with Cs2CO3 as polymerization catalyst (C) using a three-necks glass reactor provided of reflux, controlled temperature and stirring.",F
2440,"For example, XPt-8 is the catalyst with a 3wt.% Pt-loading supported on X carbon xerogel with a Pt particle size of 8nm after pre-treatment.",Pt
2441,"For example, XPt-8 is the catalyst with a 3wt.% Pt-loading supported on X carbon xerogel with a Pt particle size of 8nm after pre-treatment.",Pt
2442,"The 31P MAS NMR spectra of solid catalyst with high-power proton decoupling were performed at 161.9MHz with BB MAS probe head using 4mm ZrO2 rotors and 3.8μs pulse and 2s repetition time and 4096 scans, with samples spun at 10kHz and referenced to 85% H3PO4.",ZrO2
2443,"The three-electrode system consists of a graphite rod as the counter electrode, a saturated calomel electrode (SCE) electrode as reference electrode, and the prepared catalyst as working electrode.",graphite
2444,"To optimize the type of dopant including single doping and co-doping, all prepared nanosheets photocatalysts were applied in the photocatalytic degradation of rhodamine B (RhB) as the target pollutant and photocatalytic production of H2O2 under visible light irradiation and neutral pH condition.",RhB
2445,The photocurrent response of the photocatalysts was measured at 0.3 V bias voltage in a mixture of 0.2 M Na2S and 0.04 M Na2SO3 aqueous solution to prepare the photocurrent-time curves.,Na2SO3
2446,The photocurrent response of the photocatalysts was measured at 0.3 V bias voltage in a mixture of 0.2 M Na2S and 0.04 M Na2SO3 aqueous solution to prepare the photocurrent-time curves.,Na2S
2447,"Photoelectrochemical characterization was carried out in a three-electrode configuration (Model: PGSTAT 302 N, Make: Metrohm, Utrecht, The Netherlands) at room temperature using the catalyst coated FTO glass, platinum and Ag/AgCl (saturated 3 M KCl solution) as working, counter and reference electrodes, respectively.",Ag
2448,"Photoelectrochemical characterization was carried out in a three-electrode configuration (Model: PGSTAT 302 N, Make: Metrohm, Utrecht, The Netherlands) at room temperature using the catalyst coated FTO glass, platinum and Ag/AgCl (saturated 3 M KCl solution) as working, counter and reference electrodes, respectively.",AgCl
2449,"Photoelectrochemical characterization was carried out in a three-electrode configuration (Model: PGSTAT 302 N, Make: Metrohm, Utrecht, The Netherlands) at room temperature using the catalyst coated FTO glass, platinum and Ag/AgCl (saturated 3 M KCl solution) as working, counter and reference electrodes, respectively.",platinum
2450,"For characterization of the catalyst before and after being used in reactions and also raw zeolite, scanning electron microscopy (SEM), mapping, energy-dispersive X-ray spectroscopy (EDX), Fourier transform infrared (FTIR), Brunauer-Emmett-Teller (BET), thermogravimetric analysis (TGA), and X-ray diffraction (XRD) analyses were applied.",zeolite
2451,The pHZPC parameter was measured to survey the surface charge of the catalyst (zeolite-sea salt).,zeolite
2452,"For assigning pHZPC, 0.3 g of the optimal catalyst was added in 100 mL of distilled water and was stirred at room temperature for 24 h. NaOH and HCl (1 M) were used to regulate the initial pH levels of 4.0, 5.0, 7.0, 12.0, and 13.0.",pHZPC
2453,2 mM of catalyst and 0.1 M tetrabutylammonium hexafluorophosphate (NBu4PF6) as the supporting electrolyte were added.,NBu4PF6
2454,"Desirable amounts of reactant (BzOH), oxidant (H2O2), and water were added onto the M y H 3‒3y PW12O40 catalyst (y = 0, 1/3, 2/3, or 1; M=La, Ce, Pr.",Ce
2455,In this preparation C-MgO used as active support for synthesis of different Cu loading catalysts by using the required amount of aqueous copper nitrate solution.,Cu
2456,Brunauer-Emmett-Teller (BET) equation was applied to measure the surface area of all the copper catalysts including C-MgO support.,copper
2457,The reduction patterns of Cu/MgO/C catalysts carried out on an Auto Chem 2950 chemisorption analyser (M/s.,Cu
2458,The reduction patterns of Cu/MgO/C catalysts carried out on an Auto Chem 2950 chemisorption analyser (M/s.,MgO
2459,The reduction performance of CuO clusters existing in the thermally activated Cu/C-MgO catalysts was promptly investigated by H2-TPR.,Cu
2460,The reduction performance of CuO clusters existing in the thermally activated Cu/C-MgO catalysts was promptly investigated by H2-TPR.,CuO
2461,"In a typical procedure, around mass of 100 mg catalyst is pre-heated gently at 523 K for 1 h under He (99.999 % pure) followed by reduction in 5%H2/Ar gas mixture at the same temperature for 3 h. Subsequently, the sample was cooled down to 363 K, and the pulse chemisorption was done by injecting 6% N2O/He mixture gas on the active catalyst using a 6-port valve in the TCD signal.",N2O
2462,"In a typical procedure, around mass of 100 mg catalyst is pre-heated gently at 523 K for 1 h under He (99.999 % pure) followed by reduction in 5%H2/Ar gas mixture at the same temperature for 3 h. Subsequently, the sample was cooled down to 363 K, and the pulse chemisorption was done by injecting 6% N2O/He mixture gas on the active catalyst using a 6-port valve in the TCD signal.",Ar
2463,"The monopromoted catalysts were synthetized using the same procedure as for the conventional catalyst, but excluding the doping step with nickel (K-MoS2) or potassium (Ni-MoS2).",MoS2
2464,"The monopromoted catalysts were synthetized using the same procedure as for the conventional catalyst, but excluding the doping step with nickel (K-MoS2) or potassium (Ni-MoS2).",potassium
2465,"The monopromoted catalysts were synthetized using the same procedure as for the conventional catalyst, but excluding the doping step with nickel (K-MoS2) or potassium (Ni-MoS2).",nickel
2466,"The monopromoted catalysts were synthetized using the same procedure as for the conventional catalyst, but excluding the doping step with nickel (K-MoS2) or potassium (Ni-MoS2).",Ni
2467,2.2.5 Inductively coupled plasma optical emission spectrometry The nickel content of the catalysts was validated by inductively coupled plasma optical emission spectrometry (ICP–OES) using an Agilent 720/725-ES spectrometer.,nickel
2468,1 g L−1 of the catalyst in 2-propanol; (ii) treatment by ultrasound for 5 min; (iii) deposition of 2 μL of the mixture onto a Forvar/Carbon 300- mesh Cu grid (purchased from Tedpella); (iv) evaporation of the solvent at room temperature.,Cu
2469,"The catalysts were produced from Au(en)2Cl3 (10.8mg) and the corresponding support (RMH or RMC, 500mg), with their amounts being calculated to obtain the materials with approximately 1wt% of Au.",Au
2470,"The catalysts synthesized were characterized by X-ray diffraction (XRD – Rigaku Geigerflex equipment using Co Kα radiation from 10 to 80° (2θ) at 4°min−1), Mössbauer spectroscopy (CMTE – MA250 spectrometer using 57Co/Rh source at room temperature and α-Fe as reference), elemental analysis CHN (Perkin-Elmer analyzer), atomic absorption spectrometry (AA – Hitachi-Z8200 spectrometer), transmission electron microscopy – TEM (microscope Tecnai G2 200kV – SEI) and EDS microanalysis (JEOL JXA-8900 RL at 15kV).",Co
2471,The crystal structure of fresh and used catalyst was determined by means of a Phillips X’pert Pro diffractometer using Cu Kα radiation.,Cu
2472,"For each experiment, 5g of catalyst was charged into the reactor equipped with a catalyst support (stainless steel) and a fritted disk (quartz).",quartz
2473,"Photocurrent response, Mott-Schottky curve measurements and electrochemical impedance spectroscopy (EIS) of the catalysts were measured using an electrochemical workstation (CHI660E, China) in a three-electrode quartz reactor.",quartz
2474,"Electrospinned samples of the SrTiO3/PAN/x-FLG composite photocatalyst were calcined in two stages: firstly, stabilized at 185 °C for 30 min and then pyrolized at 500 °C for 30 min in an oxygen-containing environment.",SrTiO3
2475,"The morphology and elemental composition of the as-obtained SrTiO3 photocatalyst and composite fibers was examined using the SEM images obtained with the Quanta 3D 200i (FEI, USA, accelerating voltage of 15 kV) microscope equipped with Oxford instrument X-sight EDX system.",SrTiO3
2476,"2.3.5 The reusability of MnL and the influence of coexisting ions The regeneration of MnL was investigated by immersing the used catalysts into a NaOH solution (1 M) for 24 h, to ensure that all the As(V) adsorbed on MnL was eluted out.",MnL
2477,"2.3.5 The reusability of MnL and the influence of coexisting ions The regeneration of MnL was investigated by immersing the used catalysts into a NaOH solution (1 M) for 24 h, to ensure that all the As(V) adsorbed on MnL was eluted out.",MnL
2478,The morphological analysis of the supported bimetallic Ni/Cu catalysts was carried out with a scanning electron microscope (Philips XL-30 ESEM) operating at 15 kV.,Ni
2479,The morphological analysis of the supported bimetallic Ni/Cu catalysts was carried out with a scanning electron microscope (Philips XL-30 ESEM) operating at 15 kV.,Cu
2480,"The phase composition and surface chemical elements of the supported bimetallic Ni/Cu catalysts were analyzed respectively with an X-ray diffractometer (Bruker D8-Discover) with a Cu Kα radiation source at 40 kV and 30 mA, and an X-ray photoelectron spectrometer (ESCALAB 250Xi) with a Mg Kα radiation source.",Cu
2481,"The phase composition and surface chemical elements of the supported bimetallic Ni/Cu catalysts were analyzed respectively with an X-ray diffractometer (Bruker D8-Discover) with a Cu Kα radiation source at 40 kV and 30 mA, and an X-ray photoelectron spectrometer (ESCALAB 250Xi) with a Mg Kα radiation source.",Cu
2482,"The phase composition and surface chemical elements of the supported bimetallic Ni/Cu catalysts were analyzed respectively with an X-ray diffractometer (Bruker D8-Discover) with a Cu Kα radiation source at 40 kV and 30 mA, and an X-ray photoelectron spectrometer (ESCALAB 250Xi) with a Mg Kα radiation source.",Mg
2483,"The phase composition and surface chemical elements of the supported bimetallic Ni/Cu catalysts were analyzed respectively with an X-ray diffractometer (Bruker D8-Discover) with a Cu Kα radiation source at 40 kV and 30 mA, and an X-ray photoelectron spectrometer (ESCALAB 250Xi) with a Mg Kα radiation source.",Ni
2484,N2O chemisorption was done to assess the Cu dispersion on the supported bimetallic Ni/Cu catalysts.,Ni
2485,N2O chemisorption was done to assess the Cu dispersion on the supported bimetallic Ni/Cu catalysts.,N2O
2486,N2O chemisorption was done to assess the Cu dispersion on the supported bimetallic Ni/Cu catalysts.,Cu
2487,N2O chemisorption was done to assess the Cu dispersion on the supported bimetallic Ni/Cu catalysts.,Cu
2488,Atomic absorption spectroscopy (AA) was used to determine the Ni content in the suspension and in catalysts.,Ni
2489,"Besides, the volumetric oxidation technique was used to evaluate the oxygen total quantity needed to re-oxidize the reduced Ni-MSNS catalyst.",Ni
2490,"After H2 chemisorption test, Ni-MSNS catalyst was degassed and completely oxidized with a known amount of pure O2.",Ni
2491,"The initial hydrogenation rate of crotonaldehyde increased proportionally to the catalyst weight (0.2–1.0 g) when other reaction conditions were fixed, confirming the absence of any transport limitations.",crotonaldehyde
2492,XPS measurements of calcined and reduced catalysts were performed on a Physical Electronics ESCA 5600ci spectrometer with a monochromatic Al K α X-ray source at a power of 300W.,Al
2493,"Finally, the catalyst was heated to 800 °C in 10 % H2/Ar with a heating rate of 10 °C/min.",Ar
2494,"The mixture of Ru@C60 catalysts (5 mg), nonane (1.5 mmol, 200 mg, as internal standard), trans-CAL (4.0 mmol, 528 mg), and 30 mL of the desired solvent was prepared in a glovebox and then transferred into the high-pressure autoclave under argon atmosphere.",argon
2495,"The mixture of Ru@C60 catalysts (5 mg), nonane (1.5 mmol, 200 mg, as internal standard), trans-CAL (4.0 mmol, 528 mg), and 30 mL of the desired solvent was prepared in a glovebox and then transferred into the high-pressure autoclave under argon atmosphere.",Ru
2496,"The obtained mesoporous Cu–Co oxides are denoted as CuxCoy, where, x and y represent the relative ratio of Cu and Co. Several physical and chemical techniques were employed to characterize the mesoporous mixed CuCo oxide catalysts.",Cu
2497,"The obtained mesoporous Cu–Co oxides are denoted as CuxCoy, where, x and y represent the relative ratio of Cu and Co. Several physical and chemical techniques were employed to characterize the mesoporous mixed CuCo oxide catalysts.",Co
2498,"The obtained mesoporous Cu–Co oxides are denoted as CuxCoy, where, x and y represent the relative ratio of Cu and Co. Several physical and chemical techniques were employed to characterize the mesoporous mixed CuCo oxide catalysts.",Cu
2499,2.2.3 X-ray fluorescence analysis (XRF) The Cu and Zn contents of the catalysts were determined by X-ray fluorescence using a RaynyEDX-720 spectrometer (Shimadzu).,Zn
2500,2.2.3 X-ray fluorescence analysis (XRF) The Cu and Zn contents of the catalysts were determined by X-ray fluorescence using a RaynyEDX-720 spectrometer (Shimadzu).,Cu
2501,"Finally, supported Pt catalysts were collected by filtration, washed and dried at 70°C overnight under vacuum.",Pt
2502,"XPS measurements of Cu2p, Ti2p, P2p, C1s and O1s over the Cu–Ti–P oxide catalysts were recorded with an AXIS-NOVA (Kratos Inc., at Korea Basic Science Institute) system, equipped with a non-monochromatic AlKα (1486.6eV) X-ray source.",Cu
2503,"The amount and activation energies for methanol adsorption–desorption on the Cu–Ti–P oxide catalysts were determined using a thermal gravimeter (TG), equipped with a micro thermo-differential and gravimetric analyzer (SDT Q600, TA instruments, Yeungnam University Instrumental Analysis Center, Korea).",Cu
2504,"For H2-TPR of Cu–Ti–P oxide, 0.3g of catalysts was pre-treated under helium flow (30ml/min) at 300°C for 2h, and then cooled to room temperature.",helium
2505,"For H2-TPR of Cu–Ti–P oxide, 0.3g of catalysts was pre-treated under helium flow (30ml/min) at 300°C for 2h, and then cooled to room temperature.",Cu
2506,"In order to study the formation of carbon species on the Cu–Ti–P oxide catalyst surface, temperature-programmed oxidation (TPO) was applied using a SDT Q600 thermo-gravimeter (Yeungnam University Instrumental Analysis Center, Korea) by introducing 5% oxygen in helium into the system after it had been purged with helium.",helium
2507,"In order to study the formation of carbon species on the Cu–Ti–P oxide catalyst surface, temperature-programmed oxidation (TPO) was applied using a SDT Q600 thermo-gravimeter (Yeungnam University Instrumental Analysis Center, Korea) by introducing 5% oxygen in helium into the system after it had been purged with helium.",helium
2508,"In order to study the formation of carbon species on the Cu–Ti–P oxide catalyst surface, temperature-programmed oxidation (TPO) was applied using a SDT Q600 thermo-gravimeter (Yeungnam University Instrumental Analysis Center, Korea) by introducing 5% oxygen in helium into the system after it had been purged with helium.",Cu
2509,"The distribution of Cu or Au in the catalyst was visualized by transmission electron microscopy equipped with an energy dispersive spectrometer (TEM-EDS, Tecnai G2 F20 S-Twin, Thermo Scientific, Waltham, USA).",Cu
2510,"The distribution of Cu or Au in the catalyst was visualized by transmission electron microscopy equipped with an energy dispersive spectrometer (TEM-EDS, Tecnai G2 F20 S-Twin, Thermo Scientific, Waltham, USA).",Au
2511,"Linear sweep voltammetry (LSV) was performed with 95% iR compensations at a scan rate of 50 mV/s to investigate the electrochemical activity of the as-prepared catalyst in Ar or CO2 saturated electrolyte, respectively.",Ar
